PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS	NFYC	IRF8	TCF3	PPARD	SNAI1
11.1356927	3.8491	9.6315202	3.8491	9.5436071	3.8491	3.8491	7.5476692	13.4174449	10.1460645	15.6280238	14.5636371	14.4539274	7.1197341	8.9671465
3.7977731	14.2812166	10.9317061	8.6707823	10.8068429	3.7977731	3.7977731	6.5602369	11.1245951	11.8089526	16.1418396	12.7289761	14.5287416	10.8417177	8.6342265
14.2302452	12.5353717	10.5794867	3.6421121	8.7766866	16.1748433	3.6421121	3.6421121	12.3499287	12.0828541	16.7351787	15.80396	11.8579748	11.1623829	3.6421121
9.8573341	3.8589574	10.1524012	3.8589574	10.4042751	13.2655258	10.9612756	5.336334	13.3355173	3.8589574	14.2005542	15.0143467	12.6538907	12.542219	10.5766285
10.1604074	8.9959501	10.2834408	3.5561449	8.6076964	12.1594189	3.5561449	3.5561449	12.4185514	12.1917686	15.2654614	13.0662936	13.0830102	15.9259492	9.0350435
12.4562378	11.7729313	13.3512053	11.6934558	7.6830616	9.0953493	9.3172984	8.2733901	13.3476444	14.4807087	13.4791171	11.5061451	12.0964793	11.7086151	10.2774926
7.3120456	12.2684625	3.6846757	3.6846757	7.3337469	10.6523427	3.6846757	7.2758305	11.80852	8.0843334	14.1647362	12.906662	14.0364079	15.7325025	8.6549266
12.3730294	15.0165448	8.8361306	3.7483701	9.2826533	12.6815594	3.7483701	6.1011433	11.6150537	8.9309646	14.6351992	13.4126113	15.1515199	10.0072713	3.7483701
14.0641986	13.4767734	12.9543525	12.2105336	3.8738177	3.8738177	13.9541163	8.4921668	13.0652079	14.8911983	13.4077996	10.6671363	13.8249603	10.9679965	8.2634366
10.618982	9.2891054	7.1636991	8.4912783	8.1486065	9.9599568	3.6188073	6.7469639	14.1349071	9.3838081	14.9819708	13.4374273	11.9486772	14.9085687	8.0793412
3.7802696	9.7465897	8.6953699	3.7802696	3.7802696	3.7802696	3.7802696	5.9175946	12.6815901	8.8553529	17.8403334	12.1730709	12.1311011	12.8516918	7.6051959
10.7500479	10.6389535	9.3954337	3.8411113	3.8411113	9.3554079	3.8411113	6.8104839	12.2593991	11.4289785	14.4560328	14.0572697	11.8470633	9.0414532	3.8411113
12.8426943	11.4808644	10.2085428	7.6416599	3.7440621	9.6801637	3.7440621	7.2249403	13.7042887	8.3755206	16.5580115	13.8737525	12.5337533	11.8596154	3.7440621
3.7702028	10.5877863	11.1663564	3.7702028	9.3008109	3.7702028	3.7702028	3.7702028	11.0823007	10.2336703	13.5834179	11.5129444	13.8343784	11.142035	3.7702028
3.8108946	13.9300427	10.9439379	8.5666495	3.8108946	10.6443889	19.9877994	6.3458279	18.4682833	13.7595375	17.6246806	13.5561186	10.7140149	8.8352922	3.8108946
3.7750073	3.7750073	11.6554121	3.7750073	6.9851784	3.7750073	3.7750073	3.7750073	11.7377025	11.6866801	15.7023847	13.8432763	10.6885226	10.82824	3.7750073
11.7555713	8.8648515	14.2289136	13.326949	10.2734198	3.8759617	15.5593301	3.8759617	10.86833	9.9220473	12.888005	3.8759617	12.4756926	18.3486666	8.2196767
8.584217	9.4181157	9.0856196	3.607368	8.270322	8.2727418	3.607368	3.607368	11.3779456	12.0425409	16.6716549	11.2535582	13.2983047	10.4579856	8.3965979
3.9539206	12.0729901	3.9539206	3.9539206	3.9539206	15.2990408	3.9539206	7.1835561	12.2769243	3.9539206	14.9123514	16.4597607	10.6582688	8.8542897	3.9539206
12.2073518	10.3776872	3.7767504	3.7767504	9.8896453	3.7767504	3.7767504	3.7767504	12.4912688	11.1306407	17.6703528	12.7181942	11.3368915	7.255477	10.2765169
3.6998749	10.7897774	10.618981	3.6998749	3.6998749	8.2559048	3.6998749	8.4020624	11.795293	3.6998749	12.0041142	14.179772	11.6184766	10.5664308	3.6998749
11.8809035	9.4487105	10.1716925	3.8016327	3.8016327	3.8016327	3.8016327	8.1342528	11.1060849	8.9261503	12.0602465	10.7701513	14.4171923	11.3916557	3.8016327
9.989729	9.8085645	3.8229742	3.8229742	10.5922198	3.8229742	3.8229742	6.902445	11.7894441	10.2336675	19.219978	12.3297541	12.9515113	9.9789956	3.8229742
12.4411633	11.4278594	9.8037188	3.7842923	7.002314	10.5398746	3.7842923	6.5678383	11.1743177	10.6610366	16.5408269	13.0218726	12.1832486	8.721499	8.9264769
10.2989218	10.9091761	3.7280782	3.7280782	3.7280782	3.7280782	3.7280782	3.7280782	11.0016755	9.7054501	19.0035858	11.3423221	10.636339	10.1451295	3.7280782
9.8615964	9.5770151	3.808762	8.9810204	8.1753157	3.808762	9.4283935	3.808762	10.967739	9.438671	15.8131287	14.0667784	11.8813692	3.808762	3.808762
11.1094324	13.957079	10.457901	8.7843576	9.6697046	3.8217655	9.7824608	7.6966209	11.3108566	11.9574797	13.1876167	12.3785476	12.9523508	10.8314792	3.8217655
3.9203992	12.1324036	3.9203992	3.9203992	7.5706856	3.9203992	3.9203992	3.9203992	11.0794773	3.9203992	13.2265086	13.8010002	12.2481453	10.0784059	3.9203992
9.5877648	11.3262894	3.9121533	3.9121533	3.9121533	3.9121533	3.9121533	5.1871337	11.9471046	11.1937644	11.9662965	11.931123	12.5233653	10.6323431	3.9121533
10.6806094	10.7215293	11.1175432	3.7897869	3.7897869	9.9988765	3.7897869	5.2555074	11.6646887	12.8429314	14.802071	12.6213634	13.3908204	10.5547783	6.5549655
10.0388651	3.8682133	3.8682133	3.8682133	10.9468824	13.0664867	3.8682133	3.8682133	14.4773379	10.4466489	17.3577875	13.9599899	12.8441854	9.1415387	9.8177005
11.0617718	9.6617014	3.9965571	3.9965571	9.3255321	3.9965571	3.9965571	5.5836513	12.0476692	13.7453354	16.244996	14.8045972	11.2169525	8.9092984	9.324224
3.8275505	13.6154568	11.8173311	3.8275505	11.9186682	3.8275505	3.8275505	3.8275505	12.570012	9.7118464	15.8738103	14.4885183	11.1877833	13.1558762	8.5353463
3.8904885	9.8631116	3.8904885	3.8904885	11.5444569	11.3537563	3.8904885	3.8904885	11.9617417	11.4811062	16.5608506	12.3595619	16.6219954	10.0577523	3.8904885
3.9145501	8.5146288	10.7074377	3.9145501	10.8799268	9.8246174	3.9145501	3.9145501	13.5485739	8.5557778	12.2815132	11.2316853	10.6908631	12.3772884	3.9145501
4.1017459	11.2300829	4.1017459	4.1017459	10.4239222	4.1017459	4.1017459	4.1017459	12.8652028	11.1587269	18.3575353	11.5312007	14.8397884	10.6914721	4.1017459
11.4366211	11.1839699	3.8215293	3.8215293	10.5185648	10.2646312	9.7170601	3.8215293	12.9102796	7.5924573	16.0111237	12.0696552	13.3078299	8.5798321	3.8215293
10.7138211	9.3244031	9.7148835	3.7559847	3.7559847	11.8811749	3.7559847	6.9281713	12.4491057	8.5732863	18.7912037	15.1306639	14.1810351	11.4830838	8.0429574
10.0584244	11.1776159	8.8682522	3.6681752	7.3897381	12.1414396	3.6681752	7.1900571	13.1987932	8.5175943	16.19836	11.7846832	13.5199012	13.8520679	3.6681752
3.8985363	11.747006	10.8233767	3.8985363	9.7895161	10.2844931	3.8985363	6.5103466	12.58936	10.0909895	19.0056611	14.5685222	11.5745781	10.0438391	9.1041831
3.7850172	13.5327402	3.7850172	3.7850172	3.7850172	3.7850172	3.7850172	3.7850172	13.8710446	12.9927009	18.3069536	10.7409385	12.4206458	12.9053793	9.1576891
11.6434389	11.4900833	10.1288077	3.8598975	10.432932	3.8598975	3.8598975	8.2340452	13.6651076	11.9486886	19.0726299	14.5856221	13.0365989	14.5277603	8.6199525
3.8244233	9.9647372	3.8244233	3.8244233	9.0714775	3.8244233	3.8244233	5.2945665	11.3347645	10.8137049	19.0854569	14.022657	9.3327374	10.2082797	3.8244233
10.846471	10.7665259	3.9232914	3.9232914	10.6502058	3.9232914	3.9232914	6.3540273	11.2915391	11.1110644	13.7037222	12.2868968	11.940649	11.1211203	9.4832956
11.0649736	10.3997566	13.6816395	3.8392701	10.3914144	9.7234859	3.8392701	3.8392701	11.4850784	11.7122907	18.2385443	12.6976561	10.926102	8.4169488	3.8392701
3.8604347	3.8604347	3.8604347	3.8604347	10.1431204	3.8604347	3.8604347	8.0202972	11.2928879	10.5813015	17.2579924	11.5457748	9.2805634	10.7123824	9.6168957
3.6270314	11.8295699	9.1614214	7.9031392	3.6270314	3.6270314	17.1902579	3.6270314	11.2319891	13.1519429	12.2294929	9.4540249	12.2358114	11.3449493	8.9363128
12.2078043	3.9035843	14.2183566	13.2729628	12.9151038	3.9035843	15.717993	3.9035843	11.5418833	7.9259665	16.1956555	3.9035843	10.7309575	12.0547408	9.2047331
8.9930555	10.9025773	3.9077055	3.9077055	3.9077055	3.9077055	3.9077055	3.9077055	10.9118696	11.5471278	17.0778034	15.1976972	12.8043674	10.3660082	3.9077055
8.2604911	8.8581142	3.8024209	3.8024209	3.8024209	3.8024209	3.8024209	5.4971169	11.1652972	13.4955496	17.380488	13.0881226	15.4206798	10.0713367	3.8024209
4.0477981	13.0772494	4.0477981	4.0477981	9.7522529	21.2037962	4.0477981	5.7010105	11.7722699	13.0190125	21.7938678	10.3034638	13.8164383	9.3946072	12.3060827
3.8539948	11.5236249	3.8539948	3.8539948	8.7080994	9.1378287	3.8539948	3.8539948	11.8285105	10.7725111	17.6397697	13.029122	12.0295147	9.1473302	3.8539948
3.8913304	13.5715244	9.9074334	7.1559753	3.8913304	3.8913304	3.8913304	3.8913304	10.7722496	3.8913304	14.3527648	11.3634524	10.5783844	10.5656142	3.8913304
9.2417298	11.9539641	10.1428804	3.8307814	3.8307814	3.8307814	3.8307814	7.5471724	9.846729	11.0559527	12.3400614	13.7584644	3.8307814	10.8948177	9.488363
11.4897162	10.03791	3.9332608	3.9332608	3.9332608	13.7464637	3.9332608	3.9332608	13.1984534	12.0407693	13.9683446	9.6224796	10.1823416	12.7723734	3.9332608
12.8979293	14.2387305	8.782671	4.0398586	4.0398586	4.0398586	11.498925	7.9170894	11.667061	12.288675	15.9653667	12.6087965	7.6751253	12.5081753	4.0398586
12.0537488	11.6226768	3.7275258	3.7275258	8.6480293	9.2326808	9.2334133	3.7275258	13.2404773	8.4507156	16.8569938	12.6710729	11.8209026	11.4198564	3.7275258
3.6550918	10.0495099	3.6550918	3.6550918	7.672133	3.6550918	3.6550918	8.5881984	12.7572129	8.9041625	15.6730404	11.8630509	11.7623307	15.2385443	3.6550918
3.8043517	9.5859856	10.4791457	3.8043517	9.7745663	3.8043517	9.186887	3.8043517	14.4448784	12.295989	18.9256975	14.6974123	9.3026452	11.7709366	10.4602558
3.7381983	11.1981262	11.1405519	3.7381983	8.2027043	10.3144356	15.9720453	3.7381983	16.1008173	16.9541027	16.4339681	12.7662134	11.4973651	13.9861147	3.7381983
3.874235	10.0919001	10.8013065	8.1595266	7.3671446	10.4827458	3.874235	9.3285385	8.6649252	3.874235	13.5946312	12.1931796	12.9590919	10.4281596	3.874235
13.4366185	12.0603518	11.8308691	3.8562671	10.4477507	3.8562671	3.8562671	3.8562671	12.1911297	15.3169956	17.6511869	15.1237647	14.5357337	9.2062235	3.8562671
