PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS
15.3315701	9.5642084	11.45215	10.5357076	10.5278192	3.8163988	12.3038968	7.002226	14.992877	14.5010953
13.4914187	10.0531807	12.9207427	17.2035267	14.3598995	3.9868407	33.9371175	8.3552799	11.8130496	13.5358958
4.3237456	14.1009906	4.3237456	13.3751005	15.0027191	14.681532	4.3237456	8.9342224	11.7371045	13.4874589
11.5695737	15.949577	4.0634663	4.0634663	12.8548519	11.1134799	4.0634663	4.0634663	10.943886	10.8640486
4.1183171	13.969752	4.1183171	4.1183171	4.1183171	4.1183171	4.1183171	6.9201923	16.0024635	4.1183171
10.1931267	15.8887594	13.1583484	3.8200505	3.8200505	10.7828773	3.8200505	3.8200505	12.2947133	13.0733315
3.5107244	10.0088648	8.8323583	12.0681023	7.4299645	3.5107244	3.5107244	5.4565494	11.5370249	12.6961202
4.0611112	13.6563448	11.3404271	4.0611112	4.0611112	4.0611112	4.0611112	7.0659616	11.6797173	9.5686599
9.9392581	13.0597949	10.7354236	3.9744075	3.9744075	10.8733128	3.9744075	7.5002555	11.0595599	11.1206036
11.1149499	10.8869403	10.1190311	7.5654682	7.8433298	3.7071355	3.7071355	7.4417221	11.063937	10.082538
4.005011	13.9878835	13.1555513	4.005011	9.850832	4.005011	4.005011	8.3679689	11.3657116	9.6425144
11.6485395	10.0369909	13.6974651	15.764351	3.7417655	10.6528576	14.6120781	8.3530112	11.3706001	11.2017307
11.4916176	9.7285087	10.2830509	10.079773	8.5266317	10.4834623	10.0487816	6.5249871	13.7501589	16.1521817
11.9727172	3.6529874	13.5800679	3.6529874	3.6529874	10.5977321	12.0734166	6.9029977	13.1351641	11.7210905
12.7668048	12.7486434	13.2356083	9.4398518	9.0638542	10.3292072	12.3021437	6.8536019	12.7536333	16.2929284
3.9016261	11.0542323	3.9016261	20.999576	8.9607616	3.9016261	16.4484674	5.9902199	11.0956914	14.0148321
11.1082906	11.9192075	12.2546058	7.8627233	10.7728219	13.0584715	13.0770932	7.4149848	12.4707013	13.6090793
11.4494477	11.0306063	9.5697027	12.7241489	10.3271321	3.8754476	3.8754476	6.8136759	9.6274891	9.3153726
14.1437427	12.3299715	11.1538215	3.9472486	9.2853645	3.9472486	3.9472486	7.220674	9.6930518	10.7687071
11.8496735	8.0911714	15.5356987	7.9329376	3.9910857	3.9910857	3.9910857	3.9910857	11.288524	11.2633199
4.0914658	13.2281634	4.0914658	4.0914658	11.9930682	4.0914658	4.0914658	4.0914658	12.4028587	10.4135496
10.3645797	14.3457769	3.8587127	3.8587127	3.8587127	3.8587127	3.8587127	3.8587127	12.3099186	3.8587127
