"Cell","h","monocle3_pseudotime","UMAP1","UMAP2","cluster","partition"
239,1,7.03403456472829,4.55690622329712,-2.38444423675537,"2","2"
142,1,7.03865204441621,4.61492443084717,-2.40339827537537,"2","2"
250,6,7.05125562782744,-1.10580134391785,2.40709972381592,"1","1"
219,1,7.06258737131632,4.56789112091064,-2.13057613372803,"2","2"
204,1,7.0734056126438,4.58795928955078,-2.01750183105469,"2","2"
233,1,7.07990577307331,4.45125436782837,-2.38889956474304,"2","2"
196,1,7.08207045847764,4.51661968231201,-2.18512439727783,"2","2"
212,1,7.08360296186321,4.4632043838501,-2.33527708053589,"2","2"
167,1,7.09543274527292,4.67170381546021,-2.47195529937744,"2","2"
318,6,7.09658495167045,-1.16710650920868,2.15553092956543,"1","1"
198,1,7.10919429892591,4.60626745223999,-1.78544783592224,"2","2"
189,1,7.11134354588045,4.68735027313232,-1.95138037204742,"2","2"
200,1,7.11380001224505,4.43086624145508,-2.28055191040039,"2","2"
424,12,7.1195483550412,-1.2262921333313,1.49658966064453,"1","1"
206,1,7.12002829527106,4.69611835479736,-2.14834451675415,"2","2"
143,1,7.12116130426428,4.56926441192627,-1.83523273468018,"2","2"
211,1,7.1246725351755,4.38724184036255,-2.35533833503723,"2","2"
154,1,7.12495358228166,4.34302949905396,-2.48454165458679,"2","2"
385,12,7.1356081589264,-1.24199140071869,1.52111613750458,"1","1"
251,6,7.15096624353473,-1.19013607501984,2.80788636207581,"1","1"
202,1,7.15422597467648,4.4242205619812,-2.0991108417511,"2","2"
331,6,7.16229892697312,-1.23939204216003,2.10387682914734,"1","1"
258,6,7.16476197032053,-1.21807682514191,2.55570816993713,"1","1"
141,1,7.18450844057107,4.27477931976318,-2.38975310325623,"2","2"
374,12,7.21552000860758,-1.28817415237427,2.24663066864014,"1","1"
263,6,7.21799806512463,-1.25657248497009,2.89310002326965,"1","1"
280,6,7.23346872610348,-1.28886771202087,2.59230041503906,"1","1"
172,1,7.24381038085898,4.2106146812439,-2.28412318229675,"2","2"
193,1,7.2485343267578,4.16630363464355,-2.39150500297546,"2","2"
170,1,7.26160386597902,4.10124921798706,-2.51860857009888,"2","2"
217,1,7.26588787247086,4.39657354354858,-1.62517321109772,"2","2"
231,1,7.26650418882192,4.39078283309937,-1.63924157619476,"2","2"
257,6,7.27009821723055,-1.35569822788239,2.06230878829956,"1","1"
265,6,7.27853326118623,-1.31799805164337,2.94316053390503,"1","1"
164,1,7.27892111922195,4.30563306808472,-1.82893860340118,"2","2"
162,1,7.28066197977796,4.20066165924072,-2.13030910491943,"2","2"
242,6,7.29072576528465,-1.68165290355682,2.27314877510071,"1","1"
